"Concentration Levels of Carbon Monoxide (CO) by Station and Year"

"Station","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"NAMRIA Compound, Lawton Avenue, Taguig City",....,....,....,....,....,....,....,....,....,....,0.610,...,0.690
"De La Salle University",...,...,...,...,...,0.150,0.230,...,...,...,...,...,...
"Department of Public Works and Highways",...,...,...,...,4.000,0.930,...,...,...,...,...,...,...
"Pamantasan ng Lungsod ng Valenzuela",...,...,...,...,3.000,2.310,0.620,...,...,...,...,...,...
"Plaza Garden, Lower Session, Baguio City**",...,...,...,...,...,...,...,...,...,...,...,...,...
"Barangay. Anonas, Urdaneta City, Pangasinan",...,...,...,...,...,...,0.210,0.224,0.100,0.004,0.419,0.500,0.450
"Brgy., Parian, San Fernando City, La Union",...,...,...,...,...,...,3.000,0.349,0.423,1.940,0.870,...,...
"Heroes hall, San Fernando, City of San Fernando, Pampanga",...,...,...,...,...,...,...,0.040,0.030,...,...,...,0.390
"City Government of Balanga, Balangay City Hall, Poblacion, Balanga City, Bataan",...,...,...,...,...,...,1.500,0.280,0.280,0.346,...,0.500,...
"Air Force City, Clark field, Pampanga",....,....,....,....,....,....,0.900,0.620,0.580,1.050,0.580,...,...
"Subic Bay Metropolitain Authority Bldg., 229, Waterfront Road, Subic Free port zone",...,...,...,...,...,...,0.900,0.620,0.580,1.050,0.460,0.300,...
"City of Biñan,  Biñan, Laguna",...,...,...,...,...,...,0.320,..,...,...,3.580,...,...
"City of Santa Rosa, 2nd Flr City Government Center, J.P. Rizal Blvd. Santa Rosa, Laguna",...,...,...,...,...,...,...,3.930,3.360,...,0.880,0.400,...
"EMB Region 5 Office, Regional Center Office, Rawis, Legaspi City",...,...,...,...,...,...,...,..,3.000,3.502,...,3.900,1.330
"Ateneo De Zamboanga University, La Purisima Street, Zamboanga City",...,...,...,...,...,...,0.370,0.150,0.130,...,...,...,...
"Davao International Airport, Catitipan, Buhangin District, Davao City",...,...,...,...,...,...,0.460,0.836,1.780,1.836,...,3.300,0.650
"Pedro Acharon Sports Complex, Brgy. Calumpang, General Santos City",...,...,...,...,...,...,..,..,...,...,...,...,...
"Caraga State University, Ampayon, Butuan City",...,...,...,...,..,..,..,1.840,...,...,...,0.500,1.000
