"Concentration Levels of Nitrogen Dioxide (NO2) By Station and Year"

"Station","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"NAMRIA Compound, Lawton Avenue, Taguig City",....,....,....,....,....,....,....,22,21,19,0
"Manila Observatory, Ateneo de Manila University, Katipunan Road, Quezon City",....,....,....,....,....,....,....,11,...,...,8
"Commonwealth Ave., Quezon City**",80,128,...,...,...,...,...,...,...,...,...
"DLSU, 2401 Taft Ave., Manila",52,49,52,57,...,...,...,...,...,...,...
"DPWH, Timog EDSA, NIA Road, Quezon City",42,106,39,23,27,...,...,...,...,...,...
"Pamantasan ng Lungsod ng Valenzuela, Valenzuela City",28,63,66,20,19,...,...,...,...,...,...
"Barangay. Anonas, Urdaneta City, Pangasinan",...,...,...,16,14,8,28,17,15,15,...
"Brgy., Parian, San Fernando City, La Union",...,...,...,10,17,15,17,3,15,16,39
"Heroes hall, San Fernando, City of San Fernando, Pampanga",...,...,...,...,23,18,29,6,21,31,...
"City Government of Balanga, Balangay City Hall, Poblacion, Balanga City, Bataan",...,...,...,26,20,20,20,...,...,...,...
"Subic Bay Metropolitan Authority Bldg., 229, Waterfront Road, Subic Free port zone",...,...,...,16,23,24,27,4,15,25,...
"City of Biñan,  Biñan, Laguna",...,...,...,15,...,...,..,50,...,...,...
"City of Santa Rosa, 2nd Flr City Government Center, J.P. Rizal Blvd. Santa Rosa, Laguna",...,...,...,..,27,21,36,8,46,68,142
"EMB Region 5 Office, Regional Center Office, Rawis, Legaspi City",...,...,...,...,13,12,20,19,24,...,...
"Ateneo De  Zamboanga University, La Purisima Street, Zamboanga City",...,...,...,13,2,13,...,...,...,...,...
"Davao International Airport, Catitipan, Buhangin District, Davao City",...,...,...,15,17,...,11,11,16,18,...
"Pedro Acharon Sports Complex, Brgy. Calumpang, General Santos City",...,...,...,...,8,...,...,10,3,...,...
"Caraga State University, Ampayon, Butuan City",...,..,..,..,15,14,...,3,30,25,...
