"Concentration Levels of Ozone (O3) by Station and Year"

"Station","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"NAMRIA Compound, Lawton Avenue, Taguig City",....,....,....,....,....,....,....,19,11,8
"Manila Observatory, Ateneo de Manila University, Katipunan Road, Quezon City",....,....,....,....,....,....,....,29,8,...
"Commonwealth Ave., Quezon City**",29,39,...,...,...,...,...,...,...,...
"DLSU, 2401 Taft Ave., Manila",77,52,96,92,...,...,...,...,...,...
"DPWH, Timog EDSA, NIA Road, Quezon City",23,40,12,13,19,...,...,...,...,...
"Pamantasan ng Lungsod ng Valenzuela, Valenzuela City",38,98,39,57,24,...,...,...,...,...
"Barangay Anonas, Urdaneta City, Pangasinan",...,...,...,24,25,18,15,28,8,39
"Brgy. Parian, San Fernando City, La Union",...,...,...,50,42,47,28,28,79,72
"Heroes hall, San Fernando, City of San Fernando, Pampanga",...,...,...,...,94,51,62,31,45,66
"City Government of Balanga, Balangay City Hall, Poblacion, Balanga City, Bataan",...,...,...,55,50,45,73,...,...,...
"Subic Bay Metropolitan Authority Bldg., 229, Waterfront Road, Subic Free port zone",...,...,...,36,39,45,45,39,38,43
"City of Biñan, Biñan, Laguna",...,...,...,21,...,...,...,100,...,...
"City of Santa Rosa, 2nd Flr City Government Center, J.P. Rizal Blvd. Santa Rosa, Laguna",...,...,...,...,57,114,...,102,31,...
"EMB Region 5 Office, Regional Center Office, Rawis, Legaspi City",...,...,...,...,34,24,48,...,22,...
"Ateneo De Zamboanga University, La Purisima Street, Zamboanga City",...,...,...,25,6,13,...,...,35,...
"Davao International Airport, Catitipan, Buhangin District, Davao City",...,...,...,85,...,67,...,..,...,...
"Caraga State University, Ampayon, Butuan City",...,...,...,...,48,...,...,..,32,35
