"Concentration Levels of Sulfur Dioxide (SO2) by Station and Year"

"Station","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Commonwealth Ave., Quezon City",14,27,...,...,...,...,...,...,...,...,...
"DLSU, 2401 Taft Ave., Manila",14,12,13,14,...,...,...,...,...,...,...
"DPWH, Timog EDSA, Nia Road, Quezon City",11,27,7,11,6,...,...,...,...,...,...
"Pamantasan ng Lungsod ng Valenzuela, Valenzuela City",38,86,27,28,17,...,...,...,...,...,...
"Barangay Anonas, Urdaneta City, Pangasinan",...,...,...,5,8,13,12,17,19,17,...
"Brgy. Parian, San Fernando City, La Union",...,...,...,3,...,5,3,1,4,6,25
"Heroes hall, San Fernando, City of San Fernando, Pampanga",...,...,...,...,12,8,15,...,20,13,...
"City Government of Balanga, Balangay City Hall, Poblacion, Balanga City, Bataan",...,...,...,7,5,5,14,...,...,...,...
"Subic Bay Metropolitan Authority Bldg., 229, Waterfront Road, Subic Free port zone",...,...,...,5,3,4,7,0,5,3,...
"Air Force City, Clark Field, Pampanga",...,...,...,...,...,...,...,...,...,18,107
"City of Biñan,  Biñan, Laguna",...,...,...,5,..,...,25,4,...,...,...
"City of Santa Rosa, 2nd Flr City Government Center, J.P. Rizal Blvd. Santa Rosa, Laguna",...,...,...,...,11,7,6,1,...,33,18
"EMB Region 5 Office, Regional Center Office, Rawis, Legaspi City",...,...,...,...,4,10,11,...,10,...,...
"Ateneo De Zamboanga University, La Purisima Street, Zamboanga City",...,...,...,3,4,6,...,...,...,...,...
"Davao International Airport, Catitipan, Buhangin District, Davao City",...,...,...,5,21,...,10,...,18,20,7
"Pedro Acharon Sports Complex, Brgy. Calumpang, General Santos City",...,...,...,11,8,...,...,...,5,5,...
"Caraga State University, Ampayon, Butuan City",...,..,..,..,4,...,...,3,7,5,...
"NAMRIA Compound, Lawton Avenue, Taguig City",...,...,...,...,...,...,...,22,...,11,31
"Manila Observatory, Ateneo de Manila University, Katipunan Road, Quezon City",...,...,...,...,...,...,...,11,39,...,20
