"Physical Use Table for Water Resources"

"Year","Inputs","Agriculture, Forestry and Fishing","Mining and Quarrying, Manufacturing, and Construction","Electricity and Steam","Water Supply","Other Industries","Households","Accumulation","Flows to the environment"
"2010","..Surface water",66862,7850,110747,1829,3176,.,.,.
"2010","..Ground water",1020,417,61,813,1307,.,.,.
"2010","..Distributed water",71,342,13,0,423,394,.,.
"2010","..Own use of water",67882,8267,110808,2,4483,722,.,.
"2010","..Return to inland water resources",.,.,.,.,.,.,.,146391
"2010","..Return to other sources",.,.,.,.,.,.,.,0
"2010","..Evaporation of abstracted water",.,.,.,.,.,.,.,728
"2010","..Transpiration",.,.,.,.,.,.,.,45931
"2010","..Water incorporated to products",.,.,.,.,.,.,1033,.
"2011","..Surface water",66865,8507,110963,1889,3169,.,.,.
"2011","..Ground water",1020,452,61,840,1303,.,.,.
"2011","..Distributed water",77,350,12,0,447,450,.,.
"2011","..Own use of water",67885,8959,111024,2,4472,736,.,.
"2011","..Return to inland water resources",.,.,.,.,.,.,.,146555
"2011","..Return to other sources",.,.,.,.,.,.,.,0
"2011","..Evaporation of abstracted water",.,.,.,.,.,.,.,507
"2011","..Transpiration",.,.,.,.,.,.,.,46889
"2011","..Water incorporated to products",.,.,.,.,.,.,1117,.
"2012","..Surface water",66872,8581,111837,2000,3129,.,.,.
"2012","..Ground water",1020,456,62,889,1283,.,.,.
"2012","..Distributed water",83,347,13,0,486,519,.,.
"2012","..Own use of water",67892,9037,111899,2,4412,774,.,.
"2012","..Return to inland water resources",.,.,.,.,.,.,.,146253
"2012","..Return to other sources",.,.,.,.,.,.,.,0
"2012","..Evaporation of abstracted water",.,.,.,.,.,.,.,504
"2012","..Transpiration",.,.,.,.,.,.,.,48246
"2012","..Water incorporated to products",.,.,.,.,.,.,1126,.
"2013","..Surface water",66870,8598,114737,2075,3179,.,.,.
"2013","..Ground water",1021,456,63,922,1297,.,.,.
"2013","..Distributed water",89,354,14,0,526,576,.,.
"2013","..Own use of water",67891,9054,114800,2,4476,782,.,.
"2013","..Return to inland water resources",.,.,.,.,.,.,.,148229
"2013","..Return to other sources",.,.,.,.,.,.,.,0
"2013","..Evaporation of abstracted water",.,.,.,.,.,.,.,514
"2013","..Transpiration",.,.,.,.,.,.,.,49346
"2013","..Water incorporated to products",.,.,.,.,.,.,1129,.
"2014","..Surface water",66890,8630,115212,2183,3139,.,.,.
